episode,DDPG-2
0,0.0
1,0.0
2,0.30999999307096004
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.1099999975413084
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.09999999776482582
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.029999999329447746
33,0.08999999798834324
34,0.14999999664723873
35,0.0
36,0.0
37,1.0399999767541885
38,0.0
39,0.5299999881535769
40,0.7399999834597111
41,0.0
42,0.30999999307096004
43,0.0
44,0.3799999915063381
45,0.5899999868124723
46,0.47999998927116394
47,1.269999971613288
48,0.29999999329447746
49,0.36999999172985554
50,0.9899999778717756
51,0.0
52,0.08999999798834324
53,0.8299999814480543
54,0.2199999950826168
55,0.29999999329447746
56,0.5399999879300594
57,0.46999998949468136
58,0.0
59,0.18999999575316906
60,0.8699999805539846
61,0.669999985024333
62,0.7699999827891588
63,1.8599999584257603
64,1.579999964684248
65,0.6599999852478504
66,0.3199999928474426
67,0.7299999836832285
68,0.789999982342124
69,0.9599999785423279
70,0.8099999818950891
71,1.1999999731779099
72,0.5099999886006117
73,1.1299999747425318
74,0.36999999172985554
75,1.0099999774247408
76,1.2099999729543924
77,0.19999999552965164
78,0.6099999863654375
79,0.4999999888241291
80,0.0
81,0.1699999962002039
82,0.0
83,0.03999999910593033
84,0.019999999552965164
85,0.0
86,0.08999999798834324
87,0.0
88,0.0
89,0.08999999798834324
90,0.029999999329447746
91,0.0
92,0.029999999329447746
93,0.1099999975413084
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.029999999329447746
102,0.0
103,0.0
104,0.5299999881535769
105,0.0
106,0.0
107,0.0
108,0.13999999687075615
109,0.0
110,0.009999999776482582
111,0.0
112,0.06999999843537807
113,0.29999999329447746
114,0.1599999964237213
115,0.0
116,0.0
117,0.0
118,0.0
119,0.17999999597668648
120,0.0
121,0.14999999664723873
122,0.09999999776482582
123,0.17999999597668648
124,0.14999999664723873
125,0.3399999924004078
126,0.4999999888241291
127,0.03999999910593033
128,0.3399999924004078
129,0.47999998927116394
130,0.4999999888241291
131,0.24999999441206455
132,1.0599999763071537
133,0.04999999888241291
134,0.07999999821186066
135,0.7699999827891588
136,0.2899999935179949
137,1.3799999691545963
138,0.11999999731779099
139,1.4899999666959047
140,1.029999976977706
141,0.46999998949468136
142,0.08999999798834324
143,0.17999999597668648
144,0.5099999886006117
145,0.2799999937415123
146,0.23999999463558197
147,0.25999999418854713
148,1.4699999671429396
149,0.7799999825656414
150,1.1799999736249447
151,0.4899999890476465
152,0.7299999836832285
153,0.9299999792128801
154,0.5299999881535769
155,0.1599999964237213
156,1.3299999702721834
157,0.7599999830126762
158,0.0
159,0.9399999789893627
160,0.789999982342124
161,1.6199999637901783
162,0.549999987706542
163,0.8499999810010195
164,0.5699999872595072
165,1.2599999718368053
166,0.6599999852478504
167,0.3299999926239252
168,0.7599999830126762
169,0.8399999812245369
170,0.06999999843537807
171,0.36999999172985554
172,0.8899999801069498
173,0.0
174,0.1599999964237213
175,0.6899999845772982
176,0.2299999948590994
177,0.46999998949468136
178,1.289999971166253
179,0.3499999921768904
180,3.419999923557043
181,0.5399999879300594
182,0.1599999964237213
183,0.2899999935179949
184,0.5899999868124723
185,1.6299999635666609
186,0.11999999731779099
187,0.14999999664723873
188,0.20999999530613422
189,0.0
190,0.8599999807775021
191,0.29999999329447746
192,0.13999999687075615
193,0.6799999848008156
194,0.11999999731779099
195,0.1699999962002039
196,0.5299999881535769
197,1.3499999698251486
198,0.549999987706542
199,0.5799999870359898
200,0.0
201,0.23999999463558197
202,0.5999999865889549
203,0.30999999307096004
204,0.3899999912828207
205,0.1599999964237213
206,0.07999999821186066
207,0.13999999687075615
208,0.04999999888241291
209,0.0
210,0.5699999872595072
211,0.17999999597668648
212,0.7199999839067459
213,1.0199999772012234
214,0.1699999962002039
215,0.1599999964237213
216,0.0
217,0.0
218,0.0
219,0.14999999664723873
220,0.0
221,0.0
222,0.0
223,0.0
224,0.1599999964237213
225,0.0
226,0.0
227,0.06999999843537807
228,0.0
229,0.08999999798834324
230,0.0
231,0.41999999061226845
232,0.0
233,0.07999999821186066
234,0.0
235,0.7199999839067459
236,0.0
237,0.25999999418854713
238,0.5299999881535769
239,0.2699999939650297
240,0.6299999859184027
241,0.1599999964237213
242,1.2799999713897705
243,0.0
244,0.4499999899417162
245,0.0
246,0.0
247,0.46999998949468136
248,0.6099999863654375
249,0.5299999881535769
250,0.9199999794363976
251,0.5599999874830246
252,0.11999999731779099
253,0.3199999928474426
254,1.169999973848462
255,0.0
256,0.4899999890476465
257,1.0199999772012234
258,0.6499999854713678
259,0.4499999899417162
260,0.6099999863654375
261,0.0
262,0.2299999948590994
263,0.1699999962002039
264,0.4899999890476465
265,1.0799999758601189
266,0.7099999841302633
267,0.7399999834597111
268,0.9599999785423279
269,0.3499999921768904
270,1.339999970048666
271,0.9599999785423279
272,0.3999999910593033
273,0.14999999664723873
274,0.5599999874830246
275,0.1699999962002039
276,0.5099999886006117
277,0.8799999803304672
278,0.29999999329447746
279,0.40999999083578587
280,0.35999999195337296
281,0.18999999575316906
282,0.2799999937415123
283,0.549999987706542
284,0.24999999441206455
285,0.17999999597668648
286,0.1099999975413084
287,0.0
288,0.46999998949468136
289,1.8099999595433474
290,0.8899999801069498
291,0.30999999307096004
292,0.5099999886006117
293,0.9599999785423279
294,1.4699999671429396
295,0.0
296,0.6099999863654375
297,1.2499999720603228
298,0.41999999061226845
299,0.19999999552965164
300,0.0
301,0.5799999870359898
302,0.5399999879300594
303,0.35999999195337296
304,0.2199999950826168
305,1.389999968931079
306,0.19999999552965164
307,0.1099999975413084
308,0.8299999814480543
309,0.12999999709427357
310,1.50999996624887
311,0.03999999910593033
312,0.5199999883770943
313,0.23999999463558197
314,0.0
315,1.3699999693781137
316,3.2599999271333218
317,0.5999999865889549
318,0.4599999897181988
319,0.9399999789893627
320,1.0399999767541885
321,1.1299999747425318
322,0.0
323,0.4899999890476465
324,0.47999998927116394
325,0.9999999776482582
326,0.9999999776482582
327,1.0799999758601189
328,1.459999967366457
329,2.1199999526143074
330,1.099999975413084
331,0.8899999801069498
332,0.0
333,0.23999999463558197
334,0.1599999964237213
335,0.47999998927116394
336,1.4299999680370092
337,0.7999999821186066
338,0.9599999785423279
339,0.9199999794363976
340,1.1199999749660492
341,2.199999950826168
342,1.269999971613288
343,2.269999949261546
344,1.7099999617785215
345,0.6999999843537807
346,0.5899999868124723
347,0.5699999872595072
348,2.1899999510496855
349,0.4399999901652336
350,0.4599999897181988
351,1.3599999696016312
352,1.7399999611079693
353,0.7999999821186066
354,0.4499999899417162
